Award ID,Description,Contract Award Type,naics,naics_description,Recipient Name,Awarding Agency,awarding_agency_id,Start Date,End Date,Award Amount,base_and_all_options,generated_internal_id,generated_unique_award_id,internal_id,number_of_offers_received,Last Modified Date,base_and_all_options,Period of Performance Current End Date,Prime Recipient Name,Sub-Awardee Name,Sub-Award Amount,Funding Agency,Contract Duration,Contract Duration (Years),Days Until Contract Ends,Contract Status,Months Until Contract Ends,SortMonthBins,NAICSCodeDesc,AwardAmount_Binned,SortAmountBins,PastAwards_URL
ZW10,FEM TECHNICAL SERVICES,DELIVERY ORDER,517110,WIRED TELECOMMUNICATIONS CARRIERS,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",Department of Defense,1173.0,2017-02-01,2019-01-31,10868928.43,11472619.63,CONT_AWD_ZW10_9700_W91QUZ06D0012_9700,CONT_AWD_ZW10_9700_W91QUZ06D0012_9700,38968272,1,2022-05-25,11472619.63,,,,,Department of Defense,729.0,2,Contract Expired,Expired,Contract/s Expired,,517110: WIRED TELECOMMUNICATIONS CARRIERS,6-12 million,3,https://www.usaspending.gov/award/CONT_AWD_ZW10_9700_W91QUZ06D0012_9700
ZW05,LABOR,DELIVERY ORDER,517110,WIRED TELECOMMUNICATIONS CARRIERS,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",Department of Defense,1173.0,2016-08-19,2020-09-20,4936797.11,5144053.63,CONT_AWD_ZW05_9700_W91QUZ06D0012_9700,CONT_AWD_ZW05_9700_W91QUZ06D0012_9700,38968087,1,2021-07-02,5144053.63,,,,,Department of Defense,1493.0,4,Contract Expired,Expired,Contract/s Expired,,517110: WIRED TELECOMMUNICATIONS CARRIERS,1-6 million,2,https://www.usaspending.gov/award/CONT_AWD_ZW05_9700_W91QUZ06D0012_9700
ZU01,LOGISTICS&FIELDING,DELIVERY ORDER,541330,ENGINEERING SERVICES,BOOZ ALLEN HAMILTON INC,Department of Defense,1173.0,2012-12-21,2015-03-23,3135726.02,3646952.0,CONT_AWD_ZU01_9700_W15P7T10DD415_9700,CONT_AWD_ZU01_9700_W15P7T10DD415_9700,38964765,1,2021-08-06,3646952.0,,,,,Department of Defense,822.0,2,Contract Expired,Expired,Contract/s Expired,,541330: ENGINEERING SERVICES,1-6 million,2,https://www.usaspending.gov/award/CONT_AWD_ZU01_9700_W15P7T10DD415_9700
YU03,IGF::OT::IGF SUPPORT TO THEISR INNOVATIONS INITIATIVE PROCESS,DELIVERY ORDER,541330,ENGINEERING SERVICES,BOOZ ALLEN HAMILTON INC,Department of Defense,1173.0,2016-09-27,2018-09-26,1712596.18,3542347.0,CONT_AWD_YU03_9700_W15P7T10DD415_9700,CONT_AWD_YU03_9700_W15P7T10DD415_9700,38876299,1,2021-07-12,3542347.0,,,,,Department of Defense,729.0,2,Contract Expired,Expired,Contract/s Expired,,541330: ENGINEERING SERVICES,1-6 million,2,https://www.usaspending.gov/award/CONT_AWD_YU03_9700_W15P7T10DD415_9700
YU02,IGF::OT::IGF,DELIVERY ORDER,517110,WIRED TELECOMMUNICATIONS CARRIERS,BOOZ ALLEN HAMILTON INC,Department of Defense,1173.0,2016-05-20,2019-04-19,34533328.67,41176408.9,CONT_AWD_YU02_9700_W91QUZ06D0019_9700,CONT_AWD_YU02_9700_W91QUZ06D0019_9700,38876286,2,2022-01-26,41176408.9,,,,,Department of Defense,1064.0,3,Contract Expired,Expired,Contract/s Expired,,517110: WIRED TELECOMMUNICATIONS CARRIERS,12+ million,4,https://www.usaspending.gov/award/CONT_AWD_YU02_9700_W91QUZ06D0019_9700
YU01,IGF::OT::IGF PO PROGRAM PLANNING,DELIVERY ORDER,541330,ENGINEERING SERVICES,BOOZ ALLEN HAMILTON INC,Department of Defense,1173.0,2016-06-17,2019-09-17,5007628.29,5170096.0,CONT_AWD_YU01_9700_W15P7T10DD415_9700,CONT_AWD_YU01_9700_W15P7T10DD415_9700,38876263,1,2023-07-12,5170096.0,,,,,Department of Defense,1187.0,3,Contract Expired,Expired,Contract/s Expired,,541330: ENGINEERING SERVICES,1-6 million,2,https://www.usaspending.gov/award/CONT_AWD_YU01_9700_W15P7T10DD415_9700
Y601,"DISTRIBUTED COMMON GROUND SYSTEM ARMY (DCGS-A) FAMILY OF SYSTEMS AND DCGS-A POR SYSTEMS FIXED MOBILE BASIC V3 GEOSPATIAL (INCLUDES LEGACY DIGITAL TOPOGRAPHIC SUPPORT SYSTEM (DTSS)) WEATHER SERVICES (INCLUDES INTEGRATED METEOROLOGICAL SYSTEM (IMETS)) SIGINT (INCLUDES TACTICAL EXPLOITATION SYSTEM (TES))ANALYSIS AND CONTROL ELEMENT (ACE) BLK II ALL SOURCE FUSION SUBSYSTEM (AFS) COMMUNICATION SUPPORT ASSEMBLY (CSA) TRUSTED COMPUTER SUITE (TCS) ALL SOURCE ANALYSIS SYSTEM - SINGLE SOURCE (ASAS-SS) IMAGERY WORKSTATION (IWS) COUNTER INTELLIGENCE HUMAN INTELLIGENCE ANALYSIS, REPORTING, AND COLLECTION SYSTEM (CHARCS)ENGINEERING FIELD PLANNING, RECONNAISSANCE, SURVEYING, AND WATCHING SET (ENFIRE) SURVEILLANCE INTELLIGENCE PROCESSING CENTER (SIPC)",DELIVERY ORDER,541330,ENGINEERING SERVICES,BOOZ ALLEN HAMILTON INC,Department of Defense,1173.0,2012-07-03,2015-05-27,35527522.3,35529896.97,CONT_AWD_Y601_9700_W15P7T06DE401_9700,CONT_AWD_Y601_9700_W15P7T06DE401_9700,38812126,2,2020-09-22,35529896.97,,,,,Department of Defense,1058.0,3,Contract Expired,Expired,Contract/s Expired,,541330: ENGINEERING SERVICES,12+ million,4,https://www.usaspending.gov/award/CONT_AWD_Y601_9700_W15P7T06DE401_9700
W91ZLK21F0146,RUCKUS WIRELESS SYSTEM,DELIVERY ORDER,334111,ELECTRONIC COMPUTER MANUFACTURING,INTERNATIONAL BUSINESS MACHINES CORPORATION,Department of Defense,1173.0,2021-07-23,2021-09-30,156367.39,156367.39,CONT_AWD_W91ZLK21F0146_9700_W52P1J16D0008_9700,CONT_AWD_W91ZLK21F0146_9700_W52P1J16D0008_9700,141113835,8,2023-02-01,156367.39,,,,,Department of Defense,69.0,0,Contract Expired,Expired,Contract/s Expired,,334111: ELECTRONIC COMPUTER MANUFACTURING,0-1 million,1,https://www.usaspending.gov/award/CONT_AWD_W91ZLK21F0146_9700_W52P1J16D0008_9700
W91ZLK21F0138,PURCHASE OF IBM SPSS SOFTWARE LICENSE,DELIVERY ORDER,334111,ELECTRONIC COMPUTER MANUFACTURING,INTERNATIONAL BUSINESS MACHINES CORPORATION,Department of Defense,1173.0,2021-07-30,2021-08-29,44698.91,44698.91,CONT_AWD_W91ZLK21F0138_9700_W52P1J16D0008_9700,CONT_AWD_W91ZLK21F0138_9700_W52P1J16D0008_9700,141113834,1,2022-01-12,44698.91,,,,,Department of Defense,30.0,0,Contract Expired,Expired,Contract/s Expired,,334111: ELECTRONIC COMPUTER MANUFACTURING,0-1 million,1,https://www.usaspending.gov/award/CONT_AWD_W91ZLK21F0138_9700_W52P1J16D0008_9700
W91ZLK20F0284,CCDC: CBC REQUIRES THE PURCHASE OF SIXTY (60) ICX7450-48P-E248PT AND SIXTY (60)ICX7450-SVL-RMT-1.,DELIVERY ORDER,334111,ELECTRONIC COMPUTER MANUFACTURING,INTERNATIONAL BUSINESS MACHINES CORPORATION,Department of Defense,1173.0,2020-09-29,2020-11-03,265678.2,265678.2,CONT_AWD_W91ZLK20F0284_9700_W52P1J16D0008_9700,CONT_AWD_W91ZLK20F0284_9700_W52P1J16D0008_9700,116629763,6,2023-03-10,265678.2,,,,,Department of Defense,35.0,0,Contract Expired,Expired,Contract/s Expired,,334111: ELECTRONIC COMPUTER MANUFACTURING,0-1 million,1,https://www.usaspending.gov/award/CONT_AWD_W91ZLK20F0284_9700_W52P1J16D0008_9700
